Date,Open,High,Low,Close,Adj Close,Volume
2022-05-26,290.440002,300.920013,290.149994,299.329987,297.047668,59462200
2022-05-27,302.540009,309.250000,302.420013,309.100006,306.743164,66985600
2022-05-31,309.070007,311.329987,304.329987,308.279999,305.929413,60968300
2022-06-01,310.470001,312.649994,303.730011,306.000000,303.666840,65341700
2022-06-02,304.850006,314.559998,303.399994,314.380005,311.982941,59291300
2022-06-03,309.029999,310.470001,304.920013,306.200012,303.865295,60914700
2022-06-06,310.750000,312.350006,305.619995,307.220001,304.877472,51785000
2022-06-07,303.809998,310.670013,302.690002,309.869995,307.507294,44900300
2022-06-08,309.049988,311.720001,306.769989,307.640015,305.294342,38342100
2022-06-09,305.910004,309.049988,299.230011,299.399994,297.117096,55900500
2022-06-10,293.649994,294.869995,288.380005,288.839996,286.637634,85963500
2022-06-13,279.750000,282.339996,274.529999,275.410004,273.310089,94442000
2022-06-14,277.660004,278.660004,273.339996,275.910004,273.806213,64697500
2022-06-15,279.420013,286.829987,276.609985,282.799988,280.643707,86051400
2022-06-16,275.589996,276.059998,269.279999,271.390015,269.320740,81910300
2022-06-17,272.179993,277.190002,270.510010,274.690002,272.595551,82703400
2022-06-21,278.750000,283.450012,278.640015,281.079987,279.472992,51633700
2022-06-22,278.519989,285.179993,277.910004,280.670013,279.065369,67472900
2022-06-23,283.209991,285.720001,280.309998,284.850006,283.221466,57457800
2022-06-24,287.739990,295.040009,287.500000,294.609985,292.925659,58422300
2022-06-27,296.000000,296.579987,291.290009,292.450012,290.778015,54151500
2022-06-28,293.000000,295.649994,283.350006,283.540009,281.918976,61609800
2022-06-29,283.399994,285.339996,280.839996,283.799988,282.177429,57302700
2022-06-30,280.750000,283.940002,275.779999,280.279999,278.677612,79313600
2022-07-01,278.950012,282.529999,277.029999,282.130005,280.516998,56675100
2022-07-05,278.309998,287.079987,276.750000,286.959991,285.319366,61829300
2022-07-06,287.350006,290.950012,285.589996,288.799988,287.148865,63194700
2022-07-07,289.630005,295.700012,289.630005,294.980011,293.293549,56620100
2022-07-08,292.079987,296.750000,291.119995,295.350006,293.661407,59895500
2022-07-11,292.880005,293.109985,288.140015,289.040009,287.387512,55273900
2022-07-12,290.320007,292.279999,284.609985,286.239990,284.603485,55797100
2022-07-13,280.600006,288.049988,280.019989,285.649994,284.016876,73939400
2022-07-14,282.989990,287.559998,279.799988,286.670013,285.031067,63741800
2022-07-15,289.730011,291.980011,288.079987,291.869995,290.201324,63818100
2022-07-18,294.720001,296.160004,288.200012,289.399994,287.745453,59519600
2022-07-19,293.109985,298.600006,291.470001,298.299988,296.594543,55172600
2022-07-20,298.730011,304.239990,297.929993,303.029999,301.297516,67769400
2022-07-21,303.500000,307.440002,300.779999,307.380005,305.622650,55049400
2022-07-22,306.429993,308.549988,300.119995,301.989990,300.263458,57127700
